latitude,longitude,acq_date,acq_time,satellite,instrument,frp,daynight,confidence,datetime_utc,datetime_local,local_date,local_time,geometry,county
40.969,-122.349,2020-01-02,2107,Aqua,MODIS,17.3,D,75,2020-01-02 21:07:00+00:00,2020-01-02 13:07:00-08:00,2020-01-02,13:07:00,POINT (-122.349 40.969),Shasta
40.9782,-122.3513,2020-01-02,2107,Aqua,MODIS,43.0,D,90,2020-01-02 21:07:00+00:00,2020-01-02 13:07:00-08:00,2020-01-02,13:07:00,POINT (-122.3513 40.9782),Shasta
40.6165,-121.2978,2020-01-06,1902,Terra,MODIS,16.2,D,73,2020-01-06 19:02:00+00:00,2020-01-06 11:02:00-08:00,2020-01-06,11:02:00,POINT (-121.2978 40.6165),Lassen
38.8318,-120.6,2020-01-07,2125,Aqua,MODIS,11.0,D,57,2020-01-07 21:25:00+00:00,2020-01-07 13:25:00-08:00,2020-01-07,13:25:00,POINT (-120.6 38.8318),El Dorado
38.8672,-120.5518,2020-01-07,2125,Aqua,MODIS,13.5,D,57,2020-01-07 21:25:00+00:00,2020-01-07 13:25:00-08:00,2020-01-07,13:25:00,POINT (-120.5518 38.8672),El Dorado
38.9955,-120.3971,2020-01-07,2125,Aqua,MODIS,16.8,D,66,2020-01-07 21:25:00+00:00,2020-01-07 13:25:00-08:00,2020-01-07,13:25:00,POINT (-120.3971 38.9955),El Dorado
40.9869,-122.3594,2020-01-07,2125,Aqua,MODIS,25.6,D,70,2020-01-07 21:25:00+00:00,2020-01-07 13:25:00-08:00,2020-01-07,13:25:00,POINT (-122.3594 40.9869),Shasta
39.8308,-120.5054,2020-01-09,2113,Aqua,MODIS,44.4,D,90,2020-01-09 21:13:00+00:00,2020-01-09 13:13:00-08:00,2020-01-09,13:13:00,POINT (-120.5054 39.8308),Plumas
39.8293,-120.517,2020-01-09,2113,Aqua,MODIS,9.7,D,53,2020-01-09 21:13:00+00:00,2020-01-09 13:13:00-08:00,2020-01-09,13:13:00,POINT (-120.517 39.8293),Plumas
38.7653,-120.5202,2020-01-13,2048,Aqua,MODIS,20.2,D,64,2020-01-13 20:48:00+00:00,2020-01-13 12:48:00-08:00,2020-01-13,12:48:00,POINT (-120.5202 38.7653),El Dorado
39.7756,-121.5702,2020-01-31,1856,Terra,MODIS,6.1,D,57,2020-01-31 18:56:00+00:00,2020-01-31 10:56:00-08:00,2020-01-31,10:56:00,POINT (-121.5702 39.7756),Butte
39.8816,-122.0235,2020-02-05,1915,Terra,MODIS,16.5,D,68,2020-02-05 19:15:00+00:00,2020-02-05 11:15:00-08:00,2020-02-05,11:15:00,POINT (-122.0235 39.8816),Butte
38.8212,-120.6131,2020-02-05,2054,Aqua,MODIS,53.1,D,89,2020-02-05 20:54:00+00:00,2020-02-05 12:54:00-08:00,2020-02-05,12:54:00,POINT (-120.6131 38.8212),El Dorado
39.6682,-121.7936,2020-02-06,2137,Aqua,MODIS,8.4,D,54,2020-02-06 21:37:00+00:00,2020-02-06 13:37:00-08:00,2020-02-06,13:37:00,POINT (-121.7936 39.6682),Butte
39.8836,-122.0205,2020-02-06,2137,Aqua,MODIS,8.0,D,57,2020-02-06 21:37:00+00:00,2020-02-06 13:37:00-08:00,2020-02-06,13:37:00,POINT (-122.0205 39.8836),Butte
39.8834,-122.0437,2020-02-06,2137,Aqua,MODIS,16.7,D,55,2020-02-06 21:37:00+00:00,2020-02-06 13:37:00-08:00,2020-02-06,13:37:00,POINT (-122.0437 39.8834),Butte
40.6124,-122.005,2020-02-07,1902,Terra,MODIS,6.4,D,58,2020-02-07 19:02:00+00:00,2020-02-07 11:02:00-08:00,2020-02-07,11:02:00,POINT (-122.005 40.6124),Shasta
39.3125,-121.6457,2020-02-10,1933,Terra,MODIS,40.2,D,77,2020-02-10 19:33:00+00:00,2020-02-10 11:33:00-08:00,2020-02-10,11:33:00,POINT (-121.6457 39.3125),Butte
39.3113,-121.6453,2020-02-10,2113,Aqua,MODIS,29.1,D,87,2020-02-10 21:13:00+00:00,2020-02-10 13:13:00-08:00,2020-02-10,13:13:00,POINT (-121.6453 39.3113),Butte
38.8448,-120.57,2020-02-12,2100,Aqua,MODIS,10.4,D,64,2020-02-12 21:00:00+00:00,2020-02-12 13:00:00-08:00,2020-02-12,13:00:00,POINT (-120.57 38.8448),El Dorado
38.854,-120.5727,2020-02-12,2100,Aqua,MODIS,12.1,D,70,2020-02-12 21:00:00+00:00,2020-02-12 13:00:00-08:00,2020-02-12,13:00:00,POINT (-120.5727 38.854),El Dorado
38.8674,-120.5936,2020-02-13,2143,Aqua,MODIS,31.2,D,60,2020-02-13 21:43:00+00:00,2020-02-13 13:43:00-08:00,2020-02-13,13:43:00,POINT (-120.5936 38.8674),El Dorado
40.3047,-120.4396,2020-02-13,2144,Aqua,MODIS,14.1,D,53,2020-02-13 21:44:00+00:00,2020-02-13 13:44:00-08:00,2020-02-13,13:44:00,POINT (-120.4396 40.3047),Lassen
39.6151,-121.7192,2020-02-14,1909,Terra,MODIS,8.4,D,66,2020-02-14 19:09:00+00:00,2020-02-14 11:09:00-08:00,2020-02-14,11:09:00,POINT (-121.7192 39.6151),Butte
38.8806,-120.5153,2020-02-14,2048,Aqua,MODIS,57.3,D,87,2020-02-14 20:48:00+00:00,2020-02-14 12:48:00-08:00,2020-02-14,12:48:00,POINT (-120.5153 38.8806),El Dorado
38.8878,-120.537,2020-02-14,2048,Aqua,MODIS,40.2,D,83,2020-02-14 20:48:00+00:00,2020-02-14 12:48:00-08:00,2020-02-14,12:48:00,POINT (-120.537 38.8878),El Dorado
38.8844,-120.5542,2020-02-14,2048,Aqua,MODIS,11.1,D,63,2020-02-14 20:48:00+00:00,2020-02-14 12:48:00-08:00,2020-02-14,12:48:00,POINT (-120.5542 38.8844),El Dorado
38.8886,-120.5423,2020-02-14,2048,Aqua,MODIS,38.5,D,68,2020-02-14 20:48:00+00:00,2020-02-14 12:48:00-08:00,2020-02-14,12:48:00,POINT (-120.5423 38.8886),El Dorado
39.6894,-121.8009,2020-02-14,2048,Aqua,MODIS,8.2,D,54,2020-02-14 20:48:00+00:00,2020-02-14 12:48:00-08:00,2020-02-14,12:48:00,POINT (-121.8009 39.6894),Butte
40.5772,-122.4769,2020-02-15,2132,Aqua,MODIS,18.6,D,76,2020-02-15 21:32:00+00:00,2020-02-15 13:32:00-08:00,2020-02-15,13:32:00,POINT (-122.4769 40.5772),Shasta
40.552,-121.9302,2020-02-16,1857,Terra,MODIS,10.0,D,62,2020-02-16 18:57:00+00:00,2020-02-16 10:57:00-08:00,2020-02-16,10:57:00,POINT (-121.9302 40.552),Shasta
38.8857,-120.5493,2020-02-17,2119,Aqua,MODIS,18.8,D,81,2020-02-17 21:19:00+00:00,2020-02-17 13:19:00-08:00,2020-02-17,13:19:00,POINT (-120.5493 38.8857),El Dorado
38.8949,-120.551,2020-02-17,2119,Aqua,MODIS,71.1,D,97,2020-02-17 21:19:00+00:00,2020-02-17 13:19:00-08:00,2020-02-17,13:19:00,POINT (-120.551 38.8949),El Dorado
38.8934,-120.5632,2020-02-17,2119,Aqua,MODIS,18.2,D,67,2020-02-17 21:19:00+00:00,2020-02-17 13:19:00-08:00,2020-02-17,13:19:00,POINT (-120.5632 38.8934),El Dorado
39.322,-121.6428,2020-02-17,2119,Aqua,MODIS,4.2,D,62,2020-02-17 21:19:00+00:00,2020-02-17 13:19:00-08:00,2020-02-17,13:19:00,POINT (-121.6428 39.322),Butte
39.3205,-121.6544,2020-02-17,2119,Aqua,MODIS,3.8,D,62,2020-02-17 21:19:00+00:00,2020-02-17 13:19:00-08:00,2020-02-17,13:19:00,POINT (-121.6544 39.3205),Butte
38.8873,-120.5551,2020-02-19,2107,Aqua,MODIS,37.4,D,90,2020-02-19 21:07:00+00:00,2020-02-19 13:07:00-08:00,2020-02-19,13:07:00,POINT (-120.5551 38.8873),El Dorado
38.8855,-120.5667,2020-02-19,2107,Aqua,MODIS,136.0,D,100,2020-02-19 21:07:00+00:00,2020-02-19 13:07:00-08:00,2020-02-19,13:07:00,POINT (-120.5667 38.8855),El Dorado
39.8828,-121.1229,2020-02-19,2107,Aqua,MODIS,8.8,D,54,2020-02-19 21:07:00+00:00,2020-02-19 13:07:00-08:00,2020-02-19,13:07:00,POINT (-121.1229 39.8828),Plumas
39.8917,-121.1255,2020-02-19,2107,Aqua,MODIS,10.9,D,63,2020-02-19 21:07:00+00:00,2020-02-19 13:07:00-08:00,2020-02-19,13:07:00,POINT (-121.1255 39.8917),Plumas
38.7477,-120.5428,2020-02-20,1833,Terra,MODIS,22.3,D,65,2020-02-20 18:33:00+00:00,2020-02-20 10:33:00-08:00,2020-02-20,10:33:00,POINT (-120.5428 38.7477),El Dorado
38.8721,-120.5707,2020-02-20,2150,Aqua,MODIS,26.5,D,52,2020-02-20 21:50:00+00:00,2020-02-20 13:50:00-08:00,2020-02-20,13:50:00,POINT (-120.5707 38.8721),El Dorado
40.8848,-122.4235,2020-02-21,1915,Terra,MODIS,7.1,D,59,2020-02-21 19:15:00+00:00,2020-02-21 11:15:00-08:00,2020-02-21,11:15:00,POINT (-122.4235 40.8848),Shasta
40.8828,-122.4111,2020-02-21,1915,Terra,MODIS,8.7,D,60,2020-02-21 19:15:00+00:00,2020-02-21 11:15:00-08:00,2020-02-21,11:15:00,POINT (-122.4111 40.8828),Shasta
40.5036,-122.0238,2020-02-21,1915,Terra,MODIS,23.5,D,82,2020-02-21 19:15:00+00:00,2020-02-21 11:15:00-08:00,2020-02-21,11:15:00,POINT (-122.0238 40.5036),Shasta
40.5015,-122.0114,2020-02-21,1915,Terra,MODIS,12.5,D,73,2020-02-21 19:15:00+00:00,2020-02-21 11:15:00-08:00,2020-02-21,11:15:00,POINT (-122.0114 40.5015),Shasta
40.8864,-122.4113,2020-02-22,1820,Terra,MODIS,45.9,D,58,2020-02-22 18:20:00+00:00,2020-02-22 10:20:00-08:00,2020-02-22,10:20:00,POINT (-122.4113 40.8864),Shasta
40.8875,-122.4105,2020-02-22,2138,Aqua,MODIS,14.0,D,66,2020-02-22 21:38:00+00:00,2020-02-22 13:38:00-08:00,2020-02-22,13:38:00,POINT (-122.4105 40.8875),Shasta
39.8549,-121.1655,2020-02-24,2125,Aqua,MODIS,13.5,D,65,2020-02-24 21:25:00+00:00,2020-02-24 13:25:00-08:00,2020-02-24,13:25:00,POINT (-121.1655 39.8549),Plumas
39.8533,-121.1789,2020-02-24,2125,Aqua,MODIS,23.1,D,77,2020-02-24 21:25:00+00:00,2020-02-24 13:25:00-08:00,2020-02-24,13:25:00,POINT (-121.1789 39.8533),Plumas
40.8641,-120.2352,2020-02-25,1850,Terra,MODIS,6.9,D,54,2020-02-25 18:50:00+00:00,2020-02-25 10:50:00-08:00,2020-02-25,10:50:00,POINT (-120.2352 40.8641),Lassen
39.4537,-121.7426,2020-02-26,1934,Terra,MODIS,11.5,D,65,2020-02-26 19:34:00+00:00,2020-02-26 11:34:00-08:00,2020-02-26,11:34:00,POINT (-121.7426 39.4537),Butte
38.8629,-120.4803,2020-02-26,2113,Aqua,MODIS,13.6,D,72,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.4803 38.8629),El Dorado
38.8613,-120.4917,2020-02-26,2113,Aqua,MODIS,69.7,D,97,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.4917 38.8613),El Dorado
38.9036,-120.6479,2020-02-26,2113,Aqua,MODIS,11.5,D,65,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.6479 38.9036),El Dorado
38.8965,-120.7635,2020-02-26,2113,Aqua,MODIS,7.3,D,52,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.7635 38.8965),El Dorado
38.8949,-120.7748,2020-02-26,2113,Aqua,MODIS,58.7,D,95,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.7748 38.8949),El Dorado
39.7949,-121.5807,2020-02-26,2113,Aqua,MODIS,4.0,D,52,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-121.5807 39.7949),Butte
40.867,-120.2327,2020-02-26,2113,Aqua,MODIS,15.7,D,79,2020-02-26 21:13:00+00:00,2020-02-26 13:13:00-08:00,2020-02-26,13:13:00,POINT (-120.2327 40.867),Lassen
40.7672,-122.172,2020-02-28,1921,Terra,MODIS,17.9,D,56,2020-02-28 19:21:00+00:00,2020-02-28 11:21:00-08:00,2020-02-28,11:21:00,POINT (-122.172 40.7672),Shasta
40.5734,-122.4827,2020-02-28,1921,Terra,MODIS,8.1,D,67,2020-02-28 19:21:00+00:00,2020-02-28 11:21:00-08:00,2020-02-28,11:21:00,POINT (-122.4827 40.5734),Shasta
40.5709,-122.4687,2020-02-28,1921,Terra,MODIS,20.2,D,80,2020-02-28 19:21:00+00:00,2020-02-28 11:21:00-08:00,2020-02-28,11:21:00,POINT (-122.4687 40.5709),Shasta
38.8926,-120.6208,2020-02-28,2101,Aqua,MODIS,13.5,D,61,2020-02-28 21:01:00+00:00,2020-02-28 13:01:00-08:00,2020-02-28,13:01:00,POINT (-120.6208 38.8926),El Dorado
38.8973,-120.6288,2020-02-28,2101,Aqua,MODIS,16.7,D,71,2020-02-28 21:01:00+00:00,2020-02-28 13:01:00-08:00,2020-02-28,13:01:00,POINT (-120.6288 38.8973),El Dorado
39.9599,-120.0143,2020-02-29,2144,Aqua,MODIS,24.4,D,66,2020-02-29 21:44:00+00:00,2020-02-29 13:44:00-08:00,2020-02-29,13:44:00,POINT (-120.0143 39.9599),Lassen
40.8607,-120.2053,2020-03-03,1857,Terra,MODIS,10.5,D,76,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-120.2053 40.8607),Lassen
39.3978,-121.6925,2020-03-03,1857,Terra,MODIS,4.4,D,68,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-121.6925 39.3978),Butte
39.3285,-121.6526,2020-03-03,1857,Terra,MODIS,9.7,D,75,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-121.6526 39.3285),Butte
38.7496,-120.5472,2020-03-03,1857,Terra,MODIS,9.6,D,66,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-120.5472 38.7496),El Dorado
38.7479,-120.5359,2020-03-03,1857,Terra,MODIS,11.7,D,69,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-120.5359 38.7479),El Dorado
38.7407,-120.5493,2020-03-03,1857,Terra,MODIS,31.2,D,67,2020-03-03 18:57:00+00:00,2020-03-03 10:57:00-08:00,2020-03-03,10:57:00,POINT (-120.5493 38.7407),El Dorado
38.8956,-120.5124,2020-03-03,2036,Aqua,MODIS,50.3,D,76,2020-03-03 20:36:00+00:00,2020-03-03 12:36:00-08:00,2020-03-03,12:36:00,POINT (-120.5124 38.8956),El Dorado
38.8898,-120.5388,2020-03-03,2036,Aqua,MODIS,35.7,D,57,2020-03-03 20:36:00+00:00,2020-03-03 12:36:00-08:00,2020-03-03,12:36:00,POINT (-120.5388 38.8898),El Dorado
38.8817,-120.5675,2020-03-04,1940,Terra,MODIS,36.8,D,53,2020-03-04 19:40:00+00:00,2020-03-04 11:40:00-08:00,2020-03-04,11:40:00,POINT (-120.5675 38.8817),El Dorado
38.8711,-120.5712,2020-03-04,2119,Aqua,MODIS,47.7,D,92,2020-03-04 21:19:00+00:00,2020-03-04 13:19:00-08:00,2020-03-04,13:19:00,POINT (-120.5712 38.8711),El Dorado
