frp,latitude,longitude,county,local_date,daynight,temp,tmin,tmax,rhum,prcp,wspd,pres,elevation,slope,aspect,fuel_model,fuel_class,years_since_last_burn,log_frp
17.3,40.969,-122.349,Shasta,2020-01-02,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,666.0,33.0,203.0,102.0,Grass,2.0,1.2380463541659956
43.0,40.9782,-122.3513,Shasta,2020-01-02,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,990.0,28.0,21.0,121.0,Grass-Shrub,2.0,1.6334685565782916
16.2,40.6165,-121.2978,Lassen,2020-01-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1691.0,1.0,-1.0,165.0,Timber-Understory,50.0,1.2095152826255617
11.0,38.8318,-120.6,El Dorado,2020-01-07,D,8.9,4.0,15.0,55.0,1.8,8.3,1024.4,1135.0,14.0,173.0,183.0,Timber Litter,6.0,1.041393079971211
13.5,38.8672,-120.5518,El Dorado,2020-01-07,D,8.9,4.0,15.0,55.0,1.8,8.3,1024.4,1477.0,7.0,26.0,122.0,Grass-Shrub,6.0,1.1303340901945031
16.8,38.9955,-120.3971,El Dorado,2020-01-07,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1777.0,7.0,136.0,144.0,Shrub,6.0,1.225309540234406
25.6,40.9869,-122.3594,Shasta,2020-01-07,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,839.0,29.0,251.0,181.0,Timber Litter,2.0,1.4082401349580984
44.4,39.8308,-120.5054,Plumas,2020-01-09,D,1.4,-5.0,6.0,70.0,0.2,7.8,1023.7,1624.0,22.0,126.0,121.0,Grass-Shrub,50.0,1.6473830679286814
9.7,39.8293,-120.517,Plumas,2020-01-09,D,1.4,-5.0,6.0,70.0,0.2,7.8,1023.7,1594.0,17.0,66.0,165.0,Timber-Understory,50.0,0.986772181992284
20.2,38.7653,-120.5202,El Dorado,2020-01-13,D,4.0,2.0,6.5,94.0,1.8,15.6,1024.4,981.0,22.0,346.0,165.0,Timber-Understory,6.0,1.3053515844438388
6.1,39.7756,-121.5702,Butte,2020-01-31,D,9.1,-6.3,-2.9,86.0,0.0,4.8,1024.4,625.0,6.0,148.0,121.0,Grass-Shrub,2.0,0.7853305469683505
16.5,39.8816,-122.0235,Butte,2020-02-05,D,7.5,-5.7,-1.2,60.0,0.6,5.0,1024.3,57.0,1.0,-1.0,121.0,Grass-Shrub,77.0,1.2174842074226033
53.1,38.8212,-120.6131,El Dorado,2020-02-05,D,6.3,3.0,12.0,41.0,1.8,4.5,1024.4,1062.0,20.0,219.0,142.0,Shrub,6.0,1.7250946028694993
8.4,39.6682,-121.7936,Butte,2020-02-06,D,9.6,-9.9,-1.7,67.0,1.3,3.8,1024.3,55.0,0.0,-1.0,102.0,Grass,50.0,0.9242798030788143
8.0,39.8836,-122.0205,Butte,2020-02-06,D,9.6,-9.9,-1.7,67.0,1.3,3.8,1024.3,56.0,1.0,-1.0,121.0,Grass-Shrub,77.0,0.9030905298597066
16.7,39.8834,-122.0437,Butte,2020-02-06,D,9.6,-9.9,-1.7,67.0,1.3,3.8,1024.3,49.0,0.0,-1.0,188.0,Timber Litter,50.0,1.2227167312040814
6.4,40.6124,-122.005,Shasta,2020-02-07,D,10.4,1.1,20.0,67.0,0.0,3.2,1019.7,399.0,4.0,316.0,102.0,Grass,50.0,0.806180652568485
40.2,39.3125,-121.6457,Butte,2020-02-10,D,9.1,-11.8,-3.9,86.0,0.0,4.8,1024.4,26.0,0.0,-1.0,102.0,Grass,50.0,1.6042261611179098
29.1,39.3113,-121.6453,Butte,2020-02-10,D,9.1,-11.8,-3.9,86.0,0.0,4.8,1024.4,26.0,0.0,-1.0,102.0,Grass,50.0,1.4638931382279716
10.4,38.8448,-120.57,El Dorado,2020-02-12,D,11.1,9.333333333333334,17.0,41.0,1.8,10.2,1024.4,1424.0,6.0,175.0,144.0,Shrub,6.0,1.0170337568894277
12.1,38.854,-120.5727,El Dorado,2020-02-12,D,11.1,9.333333333333334,17.0,41.0,1.8,10.2,1024.4,1393.0,5.0,266.0,144.0,Shrub,6.0,1.0827857292373613
31.2,38.8674,-120.5936,El Dorado,2020-02-13,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1368.0,3.0,94.0,144.0,Shrub,6.0,1.4941547332153697
14.1,40.3047,-120.4396,Lassen,2020-02-13,D,3.2,-7.0,14.0,54.0,0.2,7.5,1023.7,1225.0,0.0,-1.0,102.0,Grass,50.0,1.1492194206655415
8.4,39.6151,-121.7192,Butte,2020-02-14,D,9.1,-21.6,-2.0,86.0,0.0,4.8,1024.4,47.0,1.0,-1.0,102.0,Grass,50.0,0.9242798030788143
57.3,38.8806,-120.5153,El Dorado,2020-02-14,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1572.0,19.0,324.0,144.0,Shrub,6.0,1.7581546977604867
40.2,38.8878,-120.537,El Dorado,2020-02-14,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1457.0,1.0,-1.0,162.0,Timber-Understory,6.0,1.6042261611179098
11.1,38.8844,-120.5542,El Dorado,2020-02-14,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1519.0,18.0,96.0,162.0,Timber-Understory,6.0,1.045323370042771
38.5,38.8886,-120.5423,El Dorado,2020-02-14,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1457.0,1.0,-1.0,144.0,Shrub,6.0,1.5854608423122476
8.2,39.6894,-121.8009,Butte,2020-02-14,D,10.7,-23.7,-12.7,66.0,0.0,7.0,1024.3,61.0,0.0,-1.0,102.0,Grass,50.0,0.9138143820108107
18.6,40.5772,-122.4769,Shasta,2020-02-15,D,9.9,2.8,18.3,63.0,0.0,3.2,1021.4,320.0,10.0,200.0,103.0,Grass,2.0,1.2695131777095106
10.0,40.552,-121.9302,Shasta,2020-02-16,D,14.3,8.9,20.0,58.0,0.0,7.2,1021.2,606.0,13.0,137.0,91.0,Nonburnable,50.0,1.0000004342942648
18.8,38.8857,-120.5493,El Dorado,2020-02-17,D,12.0,8.666666666666666,16.0,32.0,1.8,9.9,1024.4,1473.0,13.0,173.0,142.0,Shrub,6.0,1.2741580802713215
71.1,38.8949,-120.551,El Dorado,2020-02-17,D,12.0,8.666666666666666,16.0,32.0,1.8,9.9,1024.4,1373.0,10.0,4.0,144.0,Shrub,6.0,1.8518696618119677
18.2,38.8934,-120.5632,El Dorado,2020-02-17,D,12.0,8.666666666666666,16.0,32.0,1.8,9.9,1024.4,1355.0,13.0,273.0,91.0,Nonburnable,6.0,1.260071626608351
4.2,39.322,-121.6428,Butte,2020-02-17,D,9.1,-12.9,-3.7,86.0,0.0,4.8,1024.4,28.0,0.0,-1.0,186.0,Timber Litter,50.0,0.6232503244311501
3.8,39.3205,-121.6544,Butte,2020-02-17,D,9.1,-12.9,-3.7,86.0,0.0,4.8,1024.4,26.0,0.0,-1.0,102.0,Grass,50.0,0.5797847394955219
37.4,38.8873,-120.5551,El Dorado,2020-02-19,D,10.7,6.0,15.0,50.0,1.8,7.7,1024.4,1489.0,20.0,358.0,144.0,Shrub,6.0,1.5728717183219838
136.0,38.8855,-120.5667,El Dorado,2020-02-19,D,10.7,6.0,15.0,50.0,1.8,7.7,1024.4,1439.0,12.0,291.0,144.0,Shrub,6.0,2.1335389403036342
8.8,39.8828,-121.1229,Plumas,2020-02-19,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1811.0,21.0,264.0,165.0,Timber-Understory,50.0,0.9444831656663449
10.9,39.8917,-121.1255,Plumas,2020-02-19,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1630.0,5.0,240.0,188.0,Timber Litter,94.0,1.0374268963757454
22.3,38.7477,-120.5428,El Dorado,2020-02-20,D,12.1,8.0,18.0,35.0,1.8,8.4,1024.4,1224.0,18.0,283.0,188.0,Timber Litter,50.0,1.3483050577990057
26.5,38.8721,-120.5707,El Dorado,2020-02-20,D,12.1,8.0,18.0,35.0,1.8,8.4,1024.4,1388.0,3.0,192.0,162.0,Timber-Understory,6.0,1.423246037821487
7.1,40.8848,-122.4235,Shasta,2020-02-21,D,5.4,-2.0,18.0,62.0,4.1,3.5,1024.5,635.0,34.0,221.0,165.0,Timber-Understory,21.0,0.8512589604010133
8.7,40.8828,-122.4111,Shasta,2020-02-21,D,5.4,-2.0,18.0,62.0,4.1,3.5,1024.5,704.0,21.0,178.0,99.0,Nonburnable,21.0,0.9395197518073912
23.5,40.5036,-122.0238,Shasta,2020-02-21,D,10.8,2.2,23.9,53.0,0.0,3.2,1017.7,482.0,3.0,272.0,144.0,Shrub,50.0,1.3710680470778596
12.5,40.5015,-122.0114,Shasta,2020-02-21,D,10.8,2.2,23.9,53.0,0.0,3.2,1017.7,519.0,2.0,-1.0,144.0,Shrub,50.0,1.0969103604435029
45.9,40.8864,-122.4113,Shasta,2020-02-22,D,5.6,-2.0,19.0,68.0,4.1,3.8,1024.5,619.0,20.0,359.0,186.0,Timber Litter,50.0,1.661812780154785
14.0,40.8875,-122.4105,Shasta,2020-02-22,D,5.6,-2.0,19.0,68.0,4.1,3.8,1024.5,564.0,33.0,8.0,184.0,Timber Litter,50.0,1.1461283458884715
13.5,39.8549,-121.1655,Plumas,2020-02-24,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1763.0,6.0,210.0,165.0,Timber-Understory,50.0,1.1303340901945031
23.1,39.8533,-121.1789,Plumas,2020-02-24,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1714.0,13.0,123.0,165.0,Timber-Understory,50.0,1.3636121678983728
6.9,40.8641,-120.2352,Lassen,2020-02-25,D,3.9,-5.0,13.0,40.0,0.2,7.1,1023.7,1623.0,0.0,-1.0,122.0,Grass-Shrub,50.0,0.8388497201490919
11.5,39.4537,-121.7426,Butte,2020-02-26,D,9.1,-11.4,-6.9,86.0,0.0,4.8,1024.4,29.0,0.0,-1.0,93.0,Nonburnable,50.0,1.060698218000823
13.6,38.8629,-120.4803,El Dorado,2020-02-26,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1547.0,14.0,212.0,165.0,Timber-Understory,50.0,1.133539227704278
69.7,38.8613,-120.4917,El Dorado,2020-02-26,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1638.0,3.0,142.0,102.0,Grass,50.0,1.8432328404071128
11.5,38.9036,-120.6479,El Dorado,2020-02-26,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1295.0,8.0,304.0,165.0,Timber-Understory,50.0,1.060698218000823
7.3,38.8965,-120.7635,El Dorado,2020-02-26,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,917.0,8.0,172.0,165.0,Timber-Understory,73.0,0.8633234550439962
58.7,38.8949,-120.7748,El Dorado,2020-02-26,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,861.0,17.0,289.0,184.0,Timber Litter,73.0,1.7686381752330396
4.0,39.7949,-121.5807,Butte,2020-02-26,D,15.2,-4.3,-1.9,43.0,0.8,5.0,1024.3,682.0,3.0,256.0,91.0,Nonburnable,2.0,0.60206107706281
15.7,40.867,-120.2327,Lassen,2020-02-26,D,6.0,-5.0,19.0,45.0,0.2,7.6,1023.7,1623.0,0.0,-1.0,102.0,Grass,50.0,1.1958999290298347
